Vendor,Product code,Shortdesription,Product Variation,Category,Reduction Price,Price,Detailed image,Product name,Description,Search words,Page title,Features,Product URL,Image URL,Detailed image URL
E-duci,287,Default Short description,,Learning Software Apps>General knowledge>General knowledge; Learning Software Apps>General knowledge>General knowledge,,1,exim/backup/images/unnamed__5_.webp#{[de]:;[en]:;},Math Formula with Practice,"<p>This is a math formula with practice, example and solution app. It is an offline app and contains large collection of formulas and practice maths of the formulas in small app size. The topics are so clear that anyone can easily understand. I am sure your math problem will no more. You can learn the formulas and can practice math problems using these formulas. This will help you in your academic performance and any job preparation. It is helpful for all class student. This app is most helpful for the students of English medium and English version. This is a math learning app for all. Child, teen, young, and old man can learn math using these formula and practice maths. The main contents of this</p>",,,"Operating System: Android; Brand: Aminur Rahman; User groups: Pupils; School forms: Middel school,Nationalexams preparation,Ocasional offers,Practicional school,Real school,Secondary school; Classe level: 05,06,07,08,09,10,11,12,13; Subject: Mathematics; Language: English; Device: Smartphone,Tablette; Pricing: Free; Bundesland: Baden-württemberg,Bavaria,Berlin,Brandburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg,Nordhein-Westfalen,Reinland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia; Product Type: App; Interaction: Individual; Function: Exam preparation,Homework and assignment management; Age Range: 10-12,13-15,16-17,18-19;",https://e-duci.de/lern-software-apps/schulesoftware/in-dash-stereos-de/math-formula-with-practice/,https://e-duci.de/images/thumbnails/280/280/detailed/8/unnamed__5_.webp,https://e-duci.de/images/detailed/8/unnamed__5_.webp
E-duci,288,Default Short description,,Learning Software Apps>General knowledge>General knowledge,,3.99,exim/backup/images/11023-logo-froggipedia-1__2_.jpg#{[de]:;[en]:;},Froggipedia,"<p>Froggipedia is one of a host of new ARKit apps that Apple just announced, and it does exactly what you’d expect &mdash; use the Apple Pencil stylus to peel the skin off a virtual frog. It’s a little less gruesome, and presumably fewer real frogs have to die.</p>",,,"Operating System: Android; Brand: Aminur Rahman; User groups: Pupils; School forms: Middel school,Nationalexams preparation,Ocasional offers,Practicional school,Real school,Secondary school; Classe level: 05,06,07,08,09,10,11,12,13; Subject: Mathematics; Language: English; Device: Smartphone,Tablette; Pricing: Free; Bundesland: Baden-württemberg,Bavaria,Berlin,Brandburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg,Nordhein-Westfalen,Reinland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia; Product Type: App; Interaction: Individual; Function: Exam preparation,Homework and assignment management; Age Range: 10-12,13-15,16-17,18-19;",https://e-duci.de/lern-software-apps/allgemeinbildung/froggipedia/,https://e-duci.de/images/thumbnails/280/280/detailed/8/11023-logo-froggipedia-1__2_.jpg,https://e-duci.de/images/detailed/8/11023-logo-froggipedia-1__2_.jpg
E-duci,289,Default Short description,,Learning Software Apps>General knowledge>General knowledge,,3.99,exim/backup/images/unnamed__25_.webp#{[de]:;[en]:;},Solar System Planets 3D,"<p>Solar System Planets with 3D Simulation contains many views and celestial simulations, the educational app brings you the simple way to study, research and understand and give you a closer to the furthest reaches of our world and lets you experience a lot of fantastic space science.<br><br>In Solar System Planets encyclopedia you will find the most interesting facts about the Planets, dwarf Planets, every major moon, satellite of Mars, Jupiter, more information about Aphelion, Perihelion, Semi-major axis, Eccentricity... explore outer space in realistic 3D simulation and interact with them. Solar System Planets 3D app simply provide brief knowledge about our Solar System in particular and universe in general Solar System models and complete information about our Solar System in 3D view visualization. Explore Solar System Planets and 3D space, it’s a free tour of Solar System model which can help you to gain all info about our Solar System in easy way. You can explore the celestial objects and galaxy gravitation-ally bound system of stars dark matter and much more about our Solar System<br><br>OUTSTANDING FEATURES:<br>Solar System Planets is calculated based on the up-to-date orbital parameters by NASA and wiki-pedia and lets you simulate celestial positions in our Solar System. The encyclopedia app provides user can research, study and learn the basic knowledge of planets in the Solar System from: Sun, Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, Pluto...<br><br>Solar System Planets Features:<br>• Real time rotation, satellites in space, dwarf planets, asteroids. Explore general information about any celestial body, planet positions, stars names, find interesting astronomy facts.<br>• Planets of our Solar system: Sun, Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune.<br>• Explore planets, stars, satellites, dwarfs, asteroids, comets and other celestial bodies in real time in outer space.<br>• Solar system simulator 3D: realistic space view with real-time positions, order, size, inner structure of Solar system planets and moons, theirs orbits, stars, comets, satellites and other celestial bodies.<br>• Learn and study Aphelion, Perihelion, Semi-major axis, Eccentricity...<br>• Change orbit speed of any star, planet, and satellite.<br>• High quality definition photograph design.<br><br>With Solar System Planets 3D, you can explore the Universe and Planets without any telescope to see the planets in the real. Explore planets and moons with an amazing 3D real time model of our Solar system. Outer space is closer than you think. Download and look our Solar System so beautiful NOW!!!<br>Solar System Planets is the best education tool you need to have in your phone.<br><br>Our Solar System Planets:<br>- Sun<br>- Mercury<br>- Venus<br>- Earth: Moon (satellite of the Earth)<br>- Mars<br>- Jupiter<br>- Saturn<br>- Uranus<br>- Neptune<br>- Pluto</p>",,,"Operating System: Android; Brand: Aminur Rahman; User groups: Pupils; School forms: Middel school,Nationalexams preparation,Ocasional offers,Practicional school,Real school,Secondary school; Classe level: 05,06,07,08,09,10,11,12,13; Subject: Mathematics; Language: English; Device: Smartphone,Tablette; Pricing: Free; Bundesland: Baden-württemberg,Bavaria,Berlin,Brandburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg,Nordhein-Westfalen,Reinland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia; Product Type: App; Interaction: Individual; Function: Exam preparation,Homework and assignment management; Age Range: 10-12,13-15,16-17,18-19;",https://e-duci.de/lern-software-apps/schulesoftware/in-dash-stereos-de/solar-system-planets-3d/,https://e-duci.de/images/thumbnails/280/280/detailed/8/unnamed__25_.webp,https://e-duci.de/images/detailed/8/unnamed__25_.webp
E-duci,290,Default Short description,,Learning Software Apps>General knowledge>General knowledge,,5.87,exim/backup/images/unnamed__12_.webp#{[de]:;[en]:;},General Chemistry Course App,"<p>Taking introductory chemistry, or need a quick chemistry reference? Then you need the Wolfram General Chemistry Course Assistant. This comprehensive app for chemistry will help you quickly solve your homework problems, ace your tests, and quiz your understanding of basic chemistry concepts so you're prepared for your courses. Forget canned examples! The Wolfram Chemistry Course Assistant solves your specific chemistry problems on the fly.<br><br>This app covers the following topics applicable to Introductory Chemistry, General Chemistry, and AP Chemistry:<br><br>- Determine properties of elements, chemicals, and ions<br>- Compute properties of gases using various gas laws<br>- Perform stoichiometric conversions for solutions<br>- Balance equations<br>- Compute the enthalpy, equilibrium constant, and theoretical yield of a reaction<br>- Perform over 45 different computations<br><br>The Wolfram General Chemistry Course Assistant is powered by the Wolfram|Alpha computational knowledge engine and is created by Wolfram Research, makers of Mathematica&mdash;the world's leading software system for mathematical research and education.<br><br>The Wolfram General Chemistry Course Assistant draws on the computational power of Wolfram|Alpha's supercomputers over a 2G, 3G, 4G, or Wi-Fi connection.</p>",,,"Operating System: Android; Brand: Aminur Rahman; User groups: Pupils; School forms: Middel school,Nationalexams preparation,Ocasional offers,Practicional school,Real school,Secondary school; Classe level: 05,06,07,08,09,10,11,12,13; Subject: Mathematics; Language: English; Device: Smartphone,Tablette; Pricing: Free; Bundesland: Baden-württemberg,Bavaria,Berlin,Brandburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg,Nordhein-Westfalen,Reinland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia; Product Type: App; Interaction: Individual; Function: Exam preparation,Homework and assignment management; Age Range: 10-12,13-15,16-17,18-19;",https://e-duci.de/lern-software-apps/schulesoftware/subwoofers-de/general-chemistry-course-app/,https://e-duci.de/images/thumbnails/280/280/detailed/8/unnamed__12_.webp,https://e-duci.de/images/detailed/8/unnamed__12_.webp
E-duci,291,Default Short description,,Learning Software Apps>General knowledge>General knowledge,,9,exim/backup/images/230x0w__9_.webp#{[de]:;[en]:;},Seterra Geography,"<p>Seterra Map Quiz - What's Your World Geography IQ?<br><br>Whether you're studying for final exams or Final Jeopardy, Seterra has the geography category covered. The popular online and desktop based map quiz classic that has been entertaining and educating geography buffs ages 8-88 for almost 20 years has gone mobile.<br><br>Take on the world or conquer it one region at a time. This geography game includes 300+ different exercises to test your map skills. Learn to distinguish Tasmania from Tanzania and France's bleu, blanc, rouge flag from Russia's white, blue and red stripes. Cities, countries, capitals, continents and bodies of water are all in the mix. Pinpoint Kilimanjaro and Mount McKinley in the mountains test or discover exotic islands in the far flung reaches of the globe when trying the world islands quiz.<br><br>Those who are little rusty on their U.S. state capitals or vague on the current status and existence of those pesky ""istans"" can browse categories and shore up their knowledge base using the Learn Mode. When ready to test their memory, an interactive map identification task is just a click away.<br><br>Quiz Categories<br><br>• Identify continents and the locations of countries within each<br>• Find states, territories, provinces, and their capitals<br>• Discover oceans, seas and rivers across the globe<br>• Explore mountain ranges and volcanos<br>• Match flags to the right country<br>• Locate the world's 25 largest cities<br>• Zero in on tiny islands dotting the map<br>• Choose from 18 different tests on U.S. Geography<br><br><br>App Features<br><br>• Available in English, French, German, Spanish and Swedish<br>• Zoomable maps with clear outlines around countries<br>• Sessions are timed and graded for accuracy<br>• Track progress across multiple categories<br>• Leaderboards showing top scorers for each challenge<br>• Create a My Favorites list of preferred games for easy access<br>• Unlimited chances to retake a segment and improve the score<br>• No ads or in-app purchases<br>• Offline play supported<br><br>It's easy to challenge friends, classmates and family members in a head to head competition using Seterra. This app gives trivia contests a new spin and makes family game night rock. Teachers can put the social back in social studies with lively Geo Bee matches. There's a wide variety of content with enough depth to challenge the most diehard map hounds or just enough difficulty to prove you're smarter than a fifth grader.</p>","Geography games, quiz game, blank maps, geogames, educational games, outline map, exercise, classroom activity, teaching ideas, classroom games, middle school, interactive world map for kids, geography quizzes for adults, sporcle, human geography, social studies, memorize, memorization, remote learning, homeschooling, edtech, K12",,"Operating System: Android; Brand: Aminur Rahman; User groups: Pupils; School forms: Middel school,Nationalexams preparation,Ocasional offers,Practicional school,Real school,Secondary school; Classe level: 05,06,07,08,09,10,11,12,13; Subject: Mathematics; Language: English; Device: Smartphone,Tablette; Pricing: Free; Bundesland: Baden-württemberg,Bavaria,Berlin,Brandburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg,Nordhein-Westfalen,Reinland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia; Product Type: App; Interaction: Individual; Function: Exam preparation,Homework and assignment management; Age Range: 10-12,13-15,16-17,18-19;",https://e-duci.de/lern-software-apps/schulesoftware/in-dash-stereos-de/seterra-geography/,https://e-duci.de/images/thumbnails/280/280/detailed/9/230x0w__9_.webp,https://e-duci.de/images/detailed/9/230x0w__9_.webp
E-duci,312,Default Short description,,Learning Software Apps>General knowledge>General knowledge,,2.99,exim/backup/images/zo.png#{[de]:;[en]:;},Conni Lesen,"<p></p><p>Because learning is even more fun when it is combined with lots of games, colorful pictures and funny sounds, Conni is now conquering smartphones and iPads! With the Conni apps, reading, arithmetic, English or reading the clock can be learned in a playful way. Conni Reading with learning games about letters and words from A to Z.</p><p>LEARNING AREAS</p><p>200 words in 1000 different task combinations<br>Alphabet soup: Find the corresponding lower case letters for the respective upper case letters and vice versa<br>Front-middle-back?: F in fish - where is the letter in the word?<br>Reader: Find the right picture for the word shown.</p>","Syllable, sentences, sounds, classes 1, classes 2, Conni, learning to read, writing words, German, teacher, parent, student, elementary school",,"Operating System: Android; Brand: Aminur Rahman; User groups: Pupils; School forms: Middel school,Nationalexams preparation,Ocasional offers,Practicional school,Real school,Secondary school; Classe level: 05,06,07,08,09,10,11,12,13; Subject: Mathematics; Language: English; Device: Smartphone,Tablette; Pricing: Free; Bundesland: Baden-württemberg,Bavaria,Berlin,Brandburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg,Nordhein-Westfalen,Reinland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia; Product Type: App; Interaction: Individual; Function: Exam preparation,Homework and assignment management; Age Range: 10-12,13-15,16-17,18-19;",https://e-duci.de/lern-software-apps/schulesoftware/gps-and-navigation-de/conni-lesen/,https://e-duci.de/images/thumbnails/280/271/detailed/8/zo.png,https://e-duci.de/images/detailed/8/zo.png
E-duci,320,Default Short description,,Learning Software Apps>General knowledge>General knowledge,,0,exim/backup/images/unnamed__6_.png#{[de]:;[en]:;},Math Kids: Math Games For Kids,"<p>t's never too early to start your child's education. Preschoolers, kindergarteners, toddlers, and older kids are eager to learn their ABCs, counting, addition, subtraction, and more! The best way to encourage that is to share smart, well-made educational apps and games with them on a daily basis.<br><br>Math Kids is a free learning game designed to teach young children numbers and mathematics. It features several mini-games that toddlers and pre-K kids will love to play, and the more they do the better their math skills will become! Math Kids will help preschoolers, kindergarteners, 1st graders to learn to identify numbers and start training with addition and subtraction puzzles. They'll have a great time completing games and earning stickers, and you‘ll have a great time watching them grow and learn.<br><br>Math Kids features a number of puzzles that teach while your child plays, including:<br>• Counting - Learn to count objects in this simple game of addition.<br>• Compare - Children can build their counting and comparing skills to see which group of items is bigger or smaller.<br>• Adding Puzzle - A fun mini-game where kids create math problems by dragging numbers on the screen.<br>• Adding Fun - Count the objects and tap on the missing number.<br>• Adding Quiz - Put your child's math and addition skills to the test.<br>• Subtracting Puzzle - Fill in the missing symbols in the math problem.<br>• Subtracting Fun - Count the items to solve the puzzle!<br>• Subtracting Quiz - See how much your child has improved in their mathematics skills for subtraction.<br><br>When kids can play while they're learning, they're much more likely to recall information. It also makes them want to learn more frequently, which will give them a huge boost when they start kindergarten.<br><br>Math Kids also comes with a number of features that help adults monitor and manage their child's progress. Customize game modes to increase or decrease the difficulty, or check report cards to see scores for previous rounds.<br><br>Math Kids is the perfect introduction to the basics of counting, addition, and subtraction. It will teach your toddler, kindergartener, 1st grader sorting, and logical skills along with early mathematics, giving them the perfect foundation for a lifetime of learning.<br><br>Note to Parents:<br>When creating Math Kids, we focused on building the best possible learning experience for children of all ages. We're parents ourselves, so we know exactly what makes a good educational game, as well as what doesn't. We released Kids Math as a completely free game with no in-app purchases or third party ads. Math Kids is full featured, frustration free, and ready to go. It’s exactly the kind of educational app we want for our children, and we think your family will enjoy it, too!</p>","RV AppStudios,Baden-württemberg,Bavaria,Berlin,Brandburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg,Nordhein-Westfalen,Reinland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia,Smartphone,Tablette,Evaluation (AI),Gamification,Homework,Individual,Parent-student work,Deutsch,English,Free,Additional,Algebra,Division,Fraction,Multiplication,Shapes,App,Primary school,Mathematics,Student,Android,iOS,",,"Operating System: Android; Brand: Aminur Rahman; User groups: Pupils; School forms: Middel school,Nationalexams preparation,Ocasional offers,Practicional school,Real school,Secondary school; Classe level: 05,06,07,08,09,10,11,12,13; Subject: Mathematics; Language: English; Device: Smartphone,Tablette; Pricing: Free; Bundesland: Baden-württemberg,Bavaria,Berlin,Brandburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg,Nordhein-Westfalen,Reinland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia; Product Type: App; Interaction: Individual; Function: Exam preparation,Homework and assignment management; Age Range: 10-12,13-15,16-17,18-19;",https://e-duci.de/lern-software-apps/schulesoftware/gps-and-navigation-de/math-kids-math-games-for-kids/,https://e-duci.de/images/thumbnails/280/280/detailed/8/unnamed__6_.png,https://e-duci.de/images/detailed/8/unnamed__6_.png
E-duci,338,Default Short description,,Learning Software Apps>General knowledge>General knowledge,,0,exim/backup/images/unnamed__12__luzt-us.webp#{[de]:;[en]:;},Psychologie für Studenten,,"Diablo Code,Smartphone,Tablette,Quiz Export/import possible,Team work,Deutsch,Free,App,Student,Operating System,Android,",,"Operating System: Android; Brand: Aminur Rahman; User groups: Pupils; School forms: Middel school,Nationalexams preparation,Ocasional offers,Practicional school,Real school,Secondary school; Classe level: 05,06,07,08,09,10,11,12,13; Subject: Mathematics; Language: English; Device: Smartphone,Tablette; Pricing: Free; Bundesland: Baden-württemberg,Bavaria,Berlin,Brandburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg,Nordhein-Westfalen,Reinland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia; Product Type: App; Interaction: Individual; Function: Exam preparation,Homework and assignment management; Age Range: 10-12,13-15,16-17,18-19;",https://e-duci.de/lern-software-apps/uni-hs-software/psychologie/psychologie-fur-studenten/,https://e-duci.de/images/thumbnails/280/280/detailed/8/unnamed__12__luzt-us.webp,https://e-duci.de/images/detailed/8/unnamed__12__luzt-us.webp
E-duci,339,Default Short description,,Learning Software Apps>General knowledge>General knowledge,,0,exim/backup/images/unnamed__11_.png#{[de]:;[en]:;},Graphing Calculator - Algeo,"<p>Algeo is the most beautiful scientific graphing calculator available on the Play Store. It's fast and powerful and you'll never have to carry around a large physical TI calculator anymore. The intuitive interface shows your drawn functions as you would write them on paper rather than squeezing everything on a single line. And you don't need an internet connection unlike other graphing calculators, it works offline as well! Useful for calculus, physics or to solve those x+y equations.<br><br>This free app is packed with more features than a big TI 84 graphing calculator. Solve your homework with Algeo: draw functions, find intersections and show a table of values of the functions with an easy to use interface.<br><br>As a calculus calculator<br>• Symbolic Differentiation<br>• Calculate Integrals (definite only)<br>• Calculate Taylor-series<br>• Solve Equations<br>• Draw function<br>• Function plotting and finding roots of functions<br><br>As a scientific graphing calculator<br>• Trigonometric and Hyperbolic Functions<br>• Radians and Degree Support<br>• Logarithm<br>• Result History<br>• Variables<br>• Scientific Notation<br>• Combinatorial functions<br>• Solve linear equations (x+y)<br>• Do everything what you can do with a ti graphing calculator<br>• Number theoretic functions (modulo, greatest common divisor)<br><br>As a free graphing calculator<br>• Draw up to four functions<br>• Analyze function<br>• Find roots and intersections automatically<br>• Pinch to zoom<br>• Share your plots with your classmates<br>• Create an infinite table of values for a function<br><br>This graphing calculator is the easiest way to analyze a function and integrate and differentiate equations. Useful for math classes in high school or university. Take the Calculus quizzes with confidence knowing that Algeo helps with all mathematical functions. It makes integrating a breeze.<br><br>If you need help press the Menu button -&gt; Help or send us an e-mail. We are happy to help with any questions!<br><br>To get the latest features faster check out our beta releases:<br><a href=""https://play.google.com/apps/testing/com.algeo.algeo"">https://play.google.com/apps/t...</a></p>","Marton Veges,Smartphone,Tablette,Homework,Individual,Free,App,Android,Uni,Natural sciences and mathematics,Physics,",,"Operating System: Android; Brand: Aminur Rahman; User groups: Pupils; School forms: Middel school,Nationalexams preparation,Ocasional offers,Practicional school,Real school,Secondary school; Classe level: 05,06,07,08,09,10,11,12,13; Subject: Mathematics; Language: English; Device: Smartphone,Tablette; Pricing: Free; Bundesland: Baden-württemberg,Bavaria,Berlin,Brandburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg,Nordhein-Westfalen,Reinland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia; Product Type: App; Interaction: Individual; Function: Exam preparation,Homework and assignment management; Age Range: 10-12,13-15,16-17,18-19;",https://e-duci.de/lern-software-apps/uni-hs-software/naturwissenschaften-and-mathematik/graphing-calculator-algeo/,https://e-duci.de/images/thumbnails/280/280/detailed/8/unnamed__11_.png,https://e-duci.de/images/detailed/8/unnamed__11_.png
E-duci,347,Default Short description,,Learning Software Apps>General knowledge>General knowledge,,0,exim/backup/images/unnamed__18__zztf-a1.webp#{[de]:;[en]:;},BWL Wissen,"<p></p><table><tbody><tr>  <td>This app  is intended to accompany self-study. The most important terms and formulas of  the individual modules of our courses are queried.        If you tap a subject, you will come to the individual questions. For each  question, there is the answer as well as the source from the course documents.  There you can read the answer in detail. Questions you are sure about can be  marked with “did I know. ” These questions will not be asked again. However,  you can also activate such questions again. On the introductory page of each  subject you will find the button “all questions back to the pile. ” By  tapping this button all questions are displayed again. This allows you to  rehearse questions that you are unsure about over and over again  (https://play. google. com/store/apps/details?id=com. webstreifen. bwl.  wissen&hl=de).</td></tr></tbody></table>",,,(Electronics) Operating System: M[Android]; (Electronics) Brand: M[BWL Institut Basel]; (Electronics) User groups: M[Pupils]; (Electronics) Subject: M[general education]; (Electronics) Language: M[Deutsch///English]; (Electronics) Device : M[Smartphone///Tablette]; (Electronics) Pricing: M[Free]; (Electronics) Interaction: M[Individual]; (Electronics) Function: M[Exam preparation///Homework and assignment management///House work],https://e-duci.de/lern-software-apps/schulesoftware/in-dash-stereos-de/bwl-wissen/,https://e-duci.de/images/thumbnails/280/280/detailed/8/unnamed__18__zztf-a1.webp,https://e-duci.de/images/detailed/8/unnamed__18__zztf-a1.webp
